District,Activity,Type,Picture,Picture Link,Cost,Route,,,,Route Notes,Latitude,Longitute,Link,Description
,,,,,,,,,,,,,,
UCLA,Tunneling,Explore,tunnel.jpg,"photo credit: <a href=""https://www.flickr.com/photos/flashesofpanic/161110491/"">pjmorse</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-sa/2.0/"">cc</a>",0,N/A,,,,,34.075049,-118.440433,http://mysbfiles.stonybrook.edu/~delton/UE/Maps/UCLA.gif,"On every UCLA students' bucketlist- Miles of steam tunnels underneath the campus. Maintenance has been sealing off entrances, but you can still find some around. Destinations to visit include the YRL underground library, Macgowan prop room, Chem lab storage, Pauley, Underground bridge"
UCLA,Royce Towers,Explore,royce.jpg,"photo credit: <a href=""https://www.flickr.com/photos/evang/5227803939/"">Evan G</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",0,N/A,,,,,34.072543,-118.442204,,Find your way in and enjoy a view from one of UCLA's most iconic buildings. Flashlight recommended.
UCLA,Powell Rotunda ,Explore,powell.jpg,"photo credit: <a href=""https://www.flickr.com/photos/ideowl/2654054533/"">ideowl</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by/2.0/"">cc</a>",0,N/A,,,,,34.071916,-118.442174,,"If you're lucky and the door's unlocked, you'll have to squeeze up a narrow ladder and walk on sketchy planks to get here. Great for study breaks."
UCLA,Botanical Garden,Chill,garden.jpg,"photo credit: <a href=""https://www.flickr.com/photos/cindyluhoo87/7247867256/"">cindyluhoo87</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nd/2.0/"">cc</a>",0,N/A,,,,,34.066181,-118.441571,http://www.botgard.ucla.edu/,"Nestled in UCLA's south-east corner, it's a peaceful area to eat lunch, catch up with a friend, or just chill by yourself. Contains turtles, bamboo, and benches."
UCLA,Crow's Nest,Chill,crow.jpg,"photo credit: <a href=""https://www.flickr.com/photos/neilarmstrong2/5314950169/"">Neil Kremer</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nd/2.0/"">cc</a>",0,N/A,,,,,34.076828,-118.439548,,Look around the top level of Parking Lot 3 and you'll find this chill spot with a clear view of downtown. Best for night
UCLA,Fowler Museum,Chill,fowler.jpg,"photo credit: <a href=""https://www.flickr.com/photos/afagen/10148539535/"">afagen</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",0,N/A,,,,,34.072655,-118.443054,http://www.fowler.ucla.edu/,Art and history exhibits. Courtyard is a good place to get away and chill
UCLA,Planetarium Show,Activity,star.jpg,"photo credit: <a href=""https://www.flickr.com/photos/29225114@N08/14016692823/"">Sergei Golyshev</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",0,N/A,,,,,34.069221,-118.442932,http://www.astro.ucla.edu/planetarium/,Free show every Wednesday night
UCLA,Sculpture Garden,Chill,sculpt.jpg,"photo credit: <a href=""https://www.flickr.com/photos/kakachu/2262028858/"">kakachu</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",0,N/A,,,,,34.075117,-118.440013,http://hammer.ucla.edu/collections/franklin-d-murphy-sculpture-garden/,Random sculptures- good place to lie on the lawn and relax
UCLA,Roofing,Explore,roofing.jpg,phone,0,N/A,,,,,34.076001,-118.440815,,"Good way to spend an evening. List includes: Broad Kerchoff, Boelter/MS, Public Affairs, Physics Astronomy, Ackerman, Pauley, YRL, Folwer, Knudsen, Engr IV, Factor"
,,,,,,,,,,,,,,
Westwood/Brentwood,Diddy Riese,Food/Drink,diddy.jpg,"photo credit: <a href=""https://www.flickr.com/photos/tobin/539031592/"">tobo</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-sa/2.0/"">cc</a>",$,N/A,,,,,34.06298,-118.44688,http://diddyriese.com/,Classic and cheap. Long lines on weekend nights
Westwood/Brentwood,Restaurants,Food/Drink,800.jpg,"photo credit: <a href=""https://www.flickr.com/photos/30122252@N02/14497191004/"">travelswithtwo</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",$,N/A,,,,,34.06076,-118.445398,http://www.yelp.com/search?find_desc=Best+Restaurants+In+Westwood&find_loc=Los+Angeles%2C+CA,"Restaurants such as Bella Pita (falafels), Yamadaya (ramen), 800 degrees (pizza), Fat Sal's (sandwiches), TLT (tacos) and more"
Westwood/Brentwood,Persian Square,Food/Drink,persian.jpg,"photo credit: <a href=""https://www.flickr.com/photos/babairan/3989970280/"">Mamooli</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",$,N/A,,,,,34.056154,-118.442278,http://www.discoverlosangeles.com/blog/definitive-guide-persian-square,"Persian restaurants and stores- try Saffron and Rose for Persian ice cream, Attari for tounge/brain sandwiches, or Shamshiri for Persian food to name a few"
Westwood/Brentwood,Sweet Rose Creamery,Food/Drink,sweet_rose.jpg,"photo credit: <a href=""https://www.flickr.com/photos/muyyum/4666003384/"">Muy Yum</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",$,2/302,,,,,34.055474,-118.442056,http://www.sweetrosecreamery.com/,"Unique and rich flavors, close drive to campus- also one in Santa Monica off the 2 or 3"
Westwood/Brentwood,The Hammer,Chill,hammer.jpg,"photo credit: <a href=""https://www.flickr.com/photos/shapeofthings/11743183894/"">ShapeThings</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",0,N/A,,,,,34.059354,-118.443483,http://hammer.ucla.edu/,Interesting art exhibits that change constantly. Free entry for students
,,,,,,,,,,,,,,
Santa Monica,Santa Monica Pier,Chill,sm_pier.jpg,"photo credit: <a href=""https://www.flickr.com/photos/pedrosz/3407068070/"">szeke</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",$,1,2,3,720,,34.009305,-118.497543,http://santamonicapier.org/,"Rides, street vendors, aquarium, view"
Santa Monica,Surf rental,Activity,sm_surf.jpg,"photo credit: <a href=""https://www.flickr.com/photos/chrisgold/12215484355/"">ChrisGoldNY</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",$$,1,2,3,720,,34.004794,-118.49035,http://www.yelp.com/search?findhttp://www.yelp.com/search?find_desc=Surf+Board+Rentals&find_loc=Santa+Monica%2C+CA_desc=Surf+Board+Rentals&find_loc=Santa+Monica%2C+CA,Learn how to surf
Santa Monica,Jungle Gym,Activity,sm_jungle.jpg,"photo credit: <a href=""https://www.flickr.com/photos/rossap/9585652706/"">ROSS HONG KONG</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",0,1,2,3,720,,34.008133,-118.494985,http://www.yelp.com/biz/swings-rings-ropes-santa-monica-pier-santa-monica,"Adult sized playground with swings, slack lining, rope climbs, etc"
Santa Monica,Beach,Chill,sm_beach.jpg,"photo credit: <a href=""https://www.flickr.com/photos/pedrosz/3407068070/"">szeke</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",0,1,2,3,720,,34.008365,-118.496036,http://www.yelp.com/biz/santa-monica-state-beach-santa-monica,"Chillax. In June, stand in the water at night and feel the thousands of sandcrabs crawl over your feet."
Santa Monica,DK Donuts and Bakery,Food/Drink,dk.png,,$,1,2,,,,34.025785,-118.483382,http://www.dksdonuts.com/,"Wownuts/Conuts (waffle/croissant & donuts), Ube donuts, and more"
Santa Monica,Bay Cities Italian Deli,Food/Drink,bay_deli.jpg,"photo credit: <a href=""https://www.flickr.com/photos/muyyum/4917361573/"">Muy Yum</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",$,1,2,3,,,34.01788,-118.489292,http://www.baycitiesitaliandeli.com/,Bomb sandwiches- the godmother is classic
Santa Monica,AMF Bowling,Activity,amf.jpg,"photo credit: <a href=""https://www.flickr.com/photos/besighyawn/6303090145/"">besighyawn</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",$,1,2,3,,,34.008465,-118.488668,http://www.amf.com/bayshorelanesca,Closest place to campus to bowl. Wait for Groupons to get a deal
Santa Monica,3rd and Promenade ,Chill,3p.png,"photo credit: <a href=""https://www.flickr.com/photos/noisecollusion/417183364/"">NoiseCollusion</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by/2.0/"">cc</a>",$,1,2,3,720,,34.015825,-118.496122,http://www.santamonica.com/visitors/what-to-do/shopping/downtown/,Upscale/mainstream shops. Street performances happen often from music to acrobatics to dancing
Santa Monica,Bike path,Activity,bike.jpg,"photo credit: <a href=""https://www.flickr.com/photos/ndm007/3554346337/"">nathan makan</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",0,1,2,3,720,,34.008874,-118.496047,http://www.labikepaths.com/bike-paths/santa-monica-venice/,Smooth route for biking/longboarding- Great for summer night bike rides (rentals on 3rd/promenade or UCLA bike shop)
,,,,,,,,,,,,,,
Venice,Venice Beach,Chill,venice_beach.jpg,"photo credit: <a href=""https://www.flickr.com/photos/paul-w-locke/10845844726/"">Paul-W</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",0,1,,,,,33.986633,-118.475804,http://venicebeach.com/,Socal beach
Venice,Vendors,Chill,vendor.jpg,"photo credit: <a href=""https://www.flickr.com/photos/paul-w-locke/10845844726/"">Paul-W</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",$,1,,,,,33.98653,-118.473315,http://venicebeach.com/,"Odd and end crafts being sold on the side, medical majiuana cards sold as well for $30/40"
Venice,Abbot Kinney Boulevard,Chill,akb.jpg,"photo credit: <a href=""https://www.flickr.com/photos/elmariomacedo/14871012326/"">MšrioMacedo</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-sa/2.0/"">cc</a>",0,1,,,,,33.987925,-118.459302,http://abbotkinneyblvd.com/,Street with stores/cafes catered to the hip
